ref_path,search_path,gt_x,gt_y,style,rotation_deg,scale_ratio,drift_x,drift_y
/content/dataset/ref_0.png,/content/dataset/search_0.png,721.708,620.948,DRAM,-1.830,0.991,58.525,-51.225
/content/dataset/ref_1.png,/content/dataset/search_1.png,524.833,396.375,DRAM,-0.857,0.962,-67.082,-16.209
/content/dataset/ref_2.png,/content/dataset/search_2.png,630.591,383.147,DRAM,2.078,0.994,-36.338,17.435
/content/dataset/ref_3.png,/content/dataset/search_3.png,461.299,562.018,DRAM,-2.240,1.035,-24.140,-36.070
/content/dataset/ref_4.png,/content/dataset/search_4.png,598.757,638.577,DRAM,-2.764,1.031,-72.862,7.662
/content/dataset/ref_5.png,/content/dataset/search_5.png,699.479,369.656,DRAM,-2.124,1.052,17.128,37.514
/content/dataset/ref_6.png,/content/dataset/search_6.png,585.094,723.923,DRAM,-1.462,1.041,-70.100,36.750
/content/dataset/ref_7.png,/content/dataset/search_7.png,375.761,369.182,DRAM,-1.667,1.036,7.050,55.175
/content/dataset/ref_8.png,/content/dataset/search_8.png,449.215,512.153,DRAM,1.610,0.978,-72.537,-64.409
/content/dataset/ref_9.png,/content/dataset/search_9.png,430.279,688.413,DRAM,1.040,0.958,41.595,56.630
/content/dataset/ref_10.png,/content/dataset/search_10.png,410.606,282.255,DRAM,2.989,1.039,59.366,-27.358
/content/dataset/ref_11.png,/content/dataset/search_11.png,396.314,236.538,DRAM,1.588,0.994,-47.382,-68.018
/content/dataset/ref_12.png,/content/dataset/search_12.png,671.962,656.019,DRAM,2.431,1.046,46.172,67.661
/content/dataset/ref_13.png,/content/dataset/search_13.png,348.887,459.904,DRAM,-0.241,1.011,-42.782,72.375
/content/dataset/ref_14.png,/content/dataset/search_14.png,543.874,545.108,DRAM,-1.499,1.027,-37.268,-59.463
/content/dataset/ref_15.png,/content/dataset/search_15.png,462.349,221.038,DRAM,-1.081,0.965,63.007,-73.676
/content/dataset/ref_16.png,/content/dataset/search_16.png,264.523,586.484,DRAM,1.293,1.027,-64.834,-67.953
/content/dataset/ref_17.png,/content/dataset/search_17.png,417.652,596.484,DRAM,-0.625,1.041,-51.965,0.054
/content/dataset/ref_18.png,/content/dataset/search_18.png,629.745,366.298,DRAM,-1.538,0.965,4.648,4.461
/content/dataset/ref_19.png,/content/dataset/search_19.png,249.926,414.968,DRAM,-2.275,1.050,-79.485,0.036
/content/dataset/ref_20.png,/content/dataset/search_20.png,462.306,467.452,DRAM,1.507,0.971,31.158,-36.008
/content/dataset/ref_21.png,/content/dataset/search_21.png,432.015,558.348,DRAM,-0.724,1.044,-5.643,-42.972
/content/dataset/ref_22.png,/content/dataset/search_22.png,589.874,612.406,DRAM,-0.462,1.048,-36.134,42.981
/content/dataset/ref_23.png,/content/dataset/search_23.png,385.621,270.367,DRAM,-1.865,1.016,63.589,-76.270
/content/dataset/ref_24.png,/content/dataset/search_24.png,463.440,289.480,DRAM,1.724,1.038,-50.671,-35.140
/content/dataset/ref_25.png,/content/dataset/search_25.png,556.643,473.491,DRAM,2.962,0.972,41.801,-16.483
/content/dataset/ref_26.png,/content/dataset/search_26.png,310.782,469.889,DRAM,1.192,0.956,-49.462,-78.575
/content/dataset/ref_27.png,/content/dataset/search_27.png,557.686,433.703,DRAM,1.460,1.032,-62.227,49.325
/content/dataset/ref_28.png,/content/dataset/search_28.png,511.706,650.145,DRAM,-2.745,0.970,24.831,40.951
/content/dataset/ref_29.png,/content/dataset/search_29.png,680.194,613.385,DRAM,2.770,1.001,78.734,-21.953
